skill,total_estimated_hours
GR2 ,82837.19999999771
GR1 ,78614.6999999948
GR4 ,15290.700000000317
ICH ,9009.500000000016
NDT ,6932.2
ESHS,4754.099999999985
MAP ,3017.1000000000154
PINT,150.0
